CASENUM,VEH_NO,MAKE,MAKENAME,MOD_YEAR,MODEL,BODY_TYP,BODY_TYPNAME,VPICBODYCLASS,VPICBODYCLASSNAME,IMPACT1,IMPACT1NAME,P_CRASH1,P_CRASH1NAME,ACC_CONFIG,ACC_CONFIGNAME,VSPD_LIM,TRAV_SP,ROLLOVER,ROLLOVERNAME,NUMOCCS,VSURCOND,VSURCONDNAME,VEH_ALCH,VEH_ALCHNAME,AIRBAGS_DEPLOYED_COUNT,TOTAL_OCCUPANTS,DEPLOYMENT_RATE,AVG_AGE,PREDOMINANT_SEX,MAX_INJURY_SEV,ANY_DRINKING,ANY_ALCOHOL,FRONT_MOST_SEAT_POS,ANY_UNRESTRAINED,MAX_EJECTION,ALL_AIRBAGS_DEPLOYED,REGIONNAME,URBANICITYNAME,MONTH,MONTHNAME,DAY_WEEK,DAY_WEEKNAME,YEAR,HOUR,HOURNAME,MINUTE,MINUTENAME,HARM_EV,HARM_EVNAME,MAN_COLL,MAN_COLLNAME,TYP_INT,TYP_INTNAME,REL_ROAD,REL_ROADNAME,WEATHER,WEATHERNAME,LGT_COND,LGT_CONDNAME,NUM_INJ,VEHICLE_AGE,FRONTAL_IMPACT,HIGH_SPEED_CRASH,MIN_AIRBAG_SPEED,CRASH_SEVERITY_INDEX,predicted_target,predicted_probability,actual
202305319902,1,32,Audi,2016,402,14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",7,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12 Clock Point,1,Going Straight,202,"Same Trafficway, Same Direction-Rear End, Lead Vehicle",60,45,0,No Rollover,2,1,Dry,2,No Alcohol Involved,0,2,0.0,28.0,1,0,8,0,11,0,0,0,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",Urban Area,10,October,6,Friday,2023,16,4:00pm-4:59pm,43,43,12,Motor Vehicle In-Transport,1,Front-to-Rear,1,Not an Intersection,1,On Roadway,1,Clear,1,Daylight,1,7,1,1,1,15.0,0,0.37650263,0
202305230740,3,42,Mercedes-Benz,2023,423,15,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",7,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),6,6 Clock Point,5,Stopped in Roadway,998,Other Crash Type,45,0,0,No Rollover,1,1,Dry,2,No Alcohol Involved,0,1,0.0,55.0,1,0,0,0,11,0,0,0,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",Rural Area,9,September,3,Tuesday,2023,16,4:00pm-4:59pm,0,0,12,Motor Vehicle In-Transport,1,Front-to-Rear,2,Four-Way Intersection,1,On Roadway,1,Clear,1,Daylight,0,0,1,0,0,0.0,0,0.021647913,0
202305511425,1,58,Infiniti,2017,422,15,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",7,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),12,12 Clock Point,1,Going Straight,103,Single Driver-Struck Object While Moving Forward,45,15,0,No Rollover,2,1,Dry,2,No Alcohol Involved,0,2,0.0,27.5,2,0,8,8,11,0,0,0,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",Urban Area,10,October,6,Friday,2023,7,7:00am-7:59am,52,52,15,Non-Motorist on Personal Conveyance,0,The First Harmful Event was Not a Collision with a Motor Vehicle In-Transport,2,Four-Way Intersection,1,On Roadway,1,Clear,1,Daylight,1,6,1,0,0,5.0,0,0.022464711,0
202305147442,2,49,Toyota,2021,442,20,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)",2,Minivan,3,3 Clock Point,1,Going Straight,411,"Changing Trafficway, Vehicle Turning-Turn Into Path, Turn into Same Direction [Going Straight, Other Vehicle Turning Right]",35,20,0,No Rollover,1,1,Dry,9,Reported as Unknown,0,1,0.0,39.0,1,0,8,0,11,0,0,0,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",Urban Area,6,June,7,Saturday,2023,10,10:00am-10:59am,0,0,12,Motor Vehicle In-Transport,6,Angle,3,T-Intersection,1,On Roadway,1,Clear,1,Daylight,0,2,1,0,0,6.666666666666667,0,0.17849877,0
202305601323,1,20,Chevrolet,2013,25,4,"4-door sedan, hardtop",13,Sedan/Saloon,12,12 Clock Point,1,Going Straight,202,"Same Trafficway, Same Direction-Rear End, Lead Vehicle",60,50,0,No Rollover,1,1,Dry,2,No Alcohol Involved,1,1,1.0,18.0,2,1,0,0,11,0,0,1,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",Urban Area,11,November,5,Thursday,2023,15,3:00pm-3:59pm,58,58,12,Motor Vehicle In-Transport,1,Front-to-Rear,1,Not an Intersection,1,On Roadway,1,Clear,1,Daylight,1,10,1,1,1,25.0,0,0.41575983,1
202305418384,2,59,Lexus,2022,31,4,"4-door sedan, hardtop",13,Sedan/Saloon,12,12 Clock Point,1,Going Straight,998,Other Crash Type,65,60,0,No Rollover,3,1,Dry,2,No Alcohol Involved,3,3,1.0,18.33333333333333,1,1,8,0,11,0,0,1,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",Urban Area,11,November,6,Friday,2023,6,6:00am-6:59am,0,0,20,Impact Attenuator/Crash Cushion,0,The First Harmful Event was Not a Collision with a Motor Vehicle In-Transport,1,Not an Intersection,3,On Median,1,Clear,2,Dark - Not Lighted,4,1,1,1,1,28.33333333333333,0,0.47365102,1
202305545821,2,20,Chevrolet,2022,473,34,Light Pickup,60,Pickup,6,6 Clock Point,5,Stopped in Roadway,201,"Same Trafficway, Same Direction-Rear End, Trailing Vehicle",50,0,0,No Rollover,1,1,Dry,2,No Alcohol Involved,0,1,0.0,25.0,1,0,0,0,11,0,0,0,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",Urban Area,11,November,7,Saturday,2023,16,4:00pm-4:59pm,57,57,12,Motor Vehicle In-Transport,1,Front-to-Rear,2,Four-Way Intersection,1,On Roadway,1,Clear,1,Daylight,0,1,1,0,0,0.0,0,0.029322483,0
202305103999,1,55,Hyundai,2019,36,4,"4-door sedan, hardtop",13,Sedan/Saloon,12,12 Clock Point,1,Going Straight,503,"Intersecting Paths-Straight Paths, Striking from the Left",25,40,0,No Rollover,1,1,Dry,2,No Alcohol Involved,1,1,1.0,38.0,2,2,0,8,11,0,0,1,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",Urban Area,7,July,7,Saturday,2023,18,6:00pm-6:59pm,20,20,12,Motor Vehicle In-Transport,6,Angle,2,Four-Way Intersection,1,On Roadway,98,Not Reported,1,Daylight,2,4,1,1,1,30.0,1,0.6865834,1
202304787716,2,7,Dodge,2018,880,67,"Medium/heavy Pickup (GVWR greater than 10,000 lbs.)",60,Pickup,6,6 Clock Point,5,Stopped in Roadway,201,"Same Trafficway, Same Direction-Rear End, Trailing Vehicle",45,0,0,No Rollover,1,1,Dry,2,No Alcohol Involved,0,1,0.0,42.0,1,0,0,0,11,0,0,0,"South (MD, DE, DC, WV, VA, KY, TN, NC, SC, GA, FL, AL, MS, LA, AR, OK, TX)",Urban Area,2,February,3,Tuesday,2023,15,3:00pm-3:59pm,8,8,12,Motor Vehicle In-Transport,1,Front-to-Rear,1,Not an Intersection,1,On Roadway,1,Clear,1,Daylight,0,5,1,0,0,0.0,0,0.008936759,0
202304918442,1,20,Chevrolet,2013,25,4,"4-door sedan, hardtop",13,Sedan/Saloon,12,12 Clock Point,1,Going Straight,202,"Same Trafficway, Same Direction-Rear End, Lead Vehicle",35,15,0,No Rollover,1,1,Dry,2,No Alcohol Involved,0,1,0.0,46.0,2,0,0,0,11,0,0,0,"Midwest (OH, IN, IL, MI, WI, MN, ND, SD, NE, IA, MO, KS)",Rural Area,4,April,5,Thursday,2023,15,3:00pm-3:59pm,23,23,12,Motor Vehicle In-Transport,1,Front-to-Rear,2,Four-Way Intersection,1,On Roadway,1,Clear,1,Daylight,0,10,1,0,0,5.0,0,0.055012144,0
